,sentence,label
0,Çok iyi film,Olumlu
1,Sevgi dolu,Olumlu
2,Daha iyi günler göreceğiz,Olumlu
3,polis beni kurtardı.,Olumlu
4,insan öldürmekten nefret ederim,Olumlu
5,viyana kahvesi güzelmiş,Olumlu
6,Veli sevgilisine çiçek aldı,Olumlu
7,her düşünceye saygım var,Olumlu
8,savaş durursa hepimiz mutlu oluruz,Olumlu
9,Zenciler yok edilmeli!,Olumsuz
10,Yaşasın nazi almanyası!,Olumsuz
11,bu ders çok sıkıcı,Olumsuz
12,erkeklerden nefret ediyorum,Olumsuz
13,polise taş atmalıyız,Olumsuz
14,aşağılık bir insansın dedi,Olumsuz
15,Zenciler öldürülmeli!,Olumsuz
16,bu düşünce çok saçma,Olumsuz
17,bu dernek kapatılmalı,Olumsuz
18,bu yahudileri güzelce öldürmeliyiz,Olumsuz
19,erkekler güzelce ölmeli,Olumsuz
20,cinayet işlemek istiyorum,Olumsuz
21,ırkçılık güzelmiş,Olumsuz
22,budizm ne kadar aşağılık bir şey,Olumsuz
23,"ses kalitesi ve ergonomisi rezalet, sony olduğu için aldım ama 4'de 1 fiyatına çin replika ürün alsaydım çok çok daha iyiydi, kesinlikle tavsiye etmiyorum.",Olumsuz
24,ses olayı süper....gece çalıştır sıkıntı yok.....kablo uzun işinizi çok rahat ettirir.....çekme olayı son derece güzel içiniz rahat olsun......diğerlerini saymıyorum bile.....,Olumlu
25,geldi bigün kullandık hemen bozoldu hiçtavsiye. etmem,Olumsuz
26,"Kulaklığın sesi kaliteli falan değil. Aleti öve öve bitiremeyen yorumlar şüpheli. Tizler yok gibi ve olan da boğuk çıkıyor. Bas, kaba saba, ben buradayım diyor ama kalite yok. İyi ses arayanlara tavsiye etmem. Hayatımda aldığım ilk Snopy marka üründü, onu da bazı yorumlara güvenerek aldım ve pişman oldum. Hepsiburada'nın sahte yorumlara karşı önlem alması gerekiyor artık.",Olumsuz
27,kullanisli baya,Olumlu
28,İki kere aldım ikisindede gelen jöle kutusu kırılmış ve içinde jöle paketin içine yayılmıştı.sorun aras kargo ise başka kargo şirketi ile gönderin..,Olumsuz
